   Pos,         Uzk(ist),    (ist.liv.)n/f,           Coppia
  -136,            22388,            -4397,            -1560
  -135,            22388,            -4396,            -1572
  -134,            22392,            -4404,            -1516
  -133,            22380,            -4396,            -1556
  -132,            22380,            -4395,            -1520
  -131,            22392,            -4396,            -1520
  -130,            22380,            -4394,            -1552
  -129,            22376,            -4397,            -1508
  -128,            22368,            -4393,            -1556
  -127,            22356,            -4385,            -1516
  -126,            22380,            -4395,            -1536
  -125,            22380,            -4394,            -1544
  -124,            22388,            -4393,            -1512
  -123,            22364,            -4402,            -1548
  -122,            22348,            -4400,            -1520
  -121,            22356,            -4398,            -1564
  -120,            22380,            -4400,            -1544
  -119,            22388,            -4401,            -1548
  -118,            22368,            -4387,            -1572
  -117,            22376,            -4399,            -1532
  -116,            22364,            -4399,            -1600
  -115,            22368,            -4385,            -1548
  -114,            22388,            -4399,            -1568
  -113,            22392,            -4396,            -1600
  -112,            22392,            -4391,            -1564
  -111,            22376,            -4395,            -1612
  -110,            22392,            -4392,            -1564
  -109,            22388,            -4394,            -1596
  -108,            22392,            -4391,            -1568
  -107,            22388,            -4390,            -1560
  -106,            22392,            -4397,            -1592
  -105,            22388,            -4394,            -1540
  -104,            22376,            -4397,            -1572
  -103,            22388,            -4400,            -1528
  -102,            22388,            -4395,            -1540
  -101,            22408,            -4399,            -1540
  -100,            22408,            -4402,            -1508
   -99,            22392,            -4396,            -1540
   -98,            22388,            -4389,            -1480
   -97,            22376,            -4398,            -1520
   -96,            22380,            -4394,            -1508
   -95,            22380,            -4386,            -1500
   -94,            22380,            -4401,            -1540
   -93,            22392,            -4401,            -1524
   -92,            22380,            -4387,            -1564
   -91,            22376,            -4398,            -1544
   -90,            22388,            -4399,            -1572
   -89,            22400,            -4383,            -1588
   -88,            22400,            -4391,            -1556
   -87,            22380,            -4395,            -1624
   -86,            22368,            -4390,            -1588
   -85,            22376,            -4395,            -1612
   -84,            22380,            -4400,            -1616
   -83,            22392,            -4401,            -1584
   -82,            22408,            -4397,            -1612
   -81,            22412,            -4396,            -1552
   -80,            22380,            -4403,            -1588
   -79,            22380,            -4393,            -1544
   -78,            22388,            -4392,            -1536
   -77,            22376,            -4404,            -1556
   -76,            22392,            -4397,            -1512
   -75,            22376,            -4397,            -1540
   -74,            22380,            -4400,            -1492
   -73,            22376,            -4397,            -1512
   -72,            22368,            -4386,            -1496
   -71,            22368,            -4398,            -1484
   -70,            22380,            -4390,            -1544
   -69,            22380,            -4387,            -1484
   -68,            22356,            -4391,            -1540
   -67,            22356,            -4391,            -1540
   -66,            22348,            -4392,            -1560
   -65,            22364,            -4397,            -1600
   -64,            22380,            -4399,            -1560
   -63,            22376,            -4399,            -1608
   -62,            22368,            -4396,            -1556
   -61,            22356,            -4398,            -1580
   -60,            22364,            -4396,            -1592
   -59,            22368,            -4402,            -1564
   -58,            22368,            -4399,            -1604
   -57,            22376,            -4394,            -1544
   -56,            22376,            -4401,            -1588
   -55,            22368,            -4394,            -1580
   -54,            22368,            -4394,            -1564
   -53,            22380,            -4392,            -1584
   -52,            22400,            -4392,            -1532
   -51,            22388,            -4396,            -1580
   -50,            22380,            -4384,            -1536
   -49,            22368,            -4396,            -1552
   -48,            22368,            -4398,            -1564
   -47,            22376,            -4388,            -1528
   -46,            22376,            -4395,            -1564
   -45,            22392,            -4396,            -1528
   -44,            22380,            -4392,            -1560
   -43,            22376,            -4402,            -1524
   -42,            22376,            -4398,            -1524
   -41,            22364,            -4388,            -1536
   -40,            22380,            -4397,            -1516
   -39,            22376,            -4400,            -1584
   -38,            22332,            -4392,            -1544
   -37,            22220,            -4396,            -1556
   -36,            22112,            -4402,            -1560
   -35,            22004,            -4394,            -1528
   -34,            21904,            -4390,            -1564
   -33,            21808,            -4399,            -1516
   -32,            21692,            -4396,            -1556
   -31,            21600,            -4391,            -1524
   -30,            21492,            -4395,            -1528
   -29,            21380,            -4397,            -1576
   -28,            21280,            -4391,            -1540
   -27,            21168,            -4392,            -1588
   -26,            21076,            -4395,            -1560
   -25,            20980,            -4393,            -1568
   -24,            20868,            -4388,            -1576
   -23,            20768,            -4395,            -1540
   -22,            20664,            -4401,            -1580
   -21,            20564,            -4393,            -1528
   -20,            20464,            -4398,            -1540
   -19,            20352,            -4404,            -1536
   -18,            20252,            -4397,            -1512
   -17,            20140,            -4398,            -1532
   -16,            20024,            -4401,            -1492
   -15,            19920,            -4399,            -1528
   -14,            19820,            -4393,            -1504
   -13,            19708,            -4393,            -1500
   -12,            19596,            -4398,            -1524
   -11,            19480,            -4393,            -1504
   -10,            19368,            -4390,            -1548
    -9,            19264,            -4396,            -1536
    -8,            19144,            -4397,            -1568
    -7,            19032,            -4390,            -1576
    -6,            18920,            -4393,            -1560
    -5,            18800,            -4394,            -1604
    -4,            18688,            -4389,            -1572
    -3,            18576,            -4394,            -1604
    -2,            18464,            -4395,            -1600
    -1,            18356,            -4394,            -1596
     0,            18256,            -4391,            -1536
     1,            18180,            -4381,            -1288
     2,            18124,            -4360,             -948
     3,            18064,            -4352,             -652
     4,            18000,            -4349,             -444
     5,            17944,            -4352,             -224
     6,            17896,            -4353,              -32
     7,            17864,            -4347,              192
     8,            17832,            -4352,              412
     9,            17812,            -4357,              652
    10,            17800,            -4353,              892
    11,            17800,            -4351,             1156
    12,            17796,            -4353,             1392
    13,            17808,            -4357,             1668
    14,            17812,            -4364,             1916
    15,            17832,            -4371,             2180
    16,            17864,            -4370,             2448
    17,            17908,            -4367,             2684
    18,            17952,            -4362,             2944
    19,            17996,            -4361,             3112
    20,            18052,            -4352,             3320
    21,            18096,            -4357,             3452
    22,            18152,            -4354,             3596
    23,            18200,            -4353,             3724
    24,            18252,            -4353,             3792
    25,            18308,            -4355,             3880
    26,            18344,            -4357,             3888
    27,            18400,            -4351,             3956
    28,            18444,            -4354,             3964
    29,            18488,            -4350,             3984
    30,            18532,            -4348,             3984
    31,            18568,            -4346,             3932
    32,            18620,            -4341,             3924
    33,            18656,            -4341,             3824
    34,            18688,            -4342,             3756
    35,            18720,            -4342,             3644
    36,            18740,            -4342,             3520
    37,            18752,            -4342,             3420
    38,            18764,            -4340,             3268
    39,            18768,            -4337,             3152
    40,            18768,            -4345,             2984
    41,            18768,            -4343,             2816
    42,            18756,            -4343,             2664
    43,            18744,            -4345,             2472
    44,            18732,            -4343,             2336
    45,            18708,            -4337,             2172
    46,            18684,            -4334,             2032
    47,            18652,            -4332,             1904
    48,            18612,            -4327,             1760
    49,            18580,            -4328,             1656
    50,            18552,            -4331,             1536
    51,            18520,            -4331,             1464
    52,            18480,            -4325,             1404
    53,            18444,            -4320,             1336
    54,            18412,            -4317,             1316
    55,            18380,            -4314,             1276
    56,            18352,            -4311,             1284
    57,            18312,            -4311,             1268
    58,            18280,            -4308,             1300
    59,            18244,            -4308,             1324
    60,            18224,            -4309,             1360
    61,            18200,            -4313,             1400
    62,            18176,            -4313,             1428
    63,            18156,            -4310,             1496
    64,            18144,            -4309,             1536
    65,            18132,            -4304,             1628
    66,            18120,            -4300,             1688
    67,            18108,            -4297,             1780
    68,            18088,            -4291,             1864
    69,            18084,            -4288,             1952
    70,            18084,            -4285,             2052
    71,            18088,            -4288,             2128
    72,            18100,            -4288,             2240
    73,            18108,            -4292,             2308
    74,            18124,            -4287,             2428
    75,            18140,            -4288,             2500
    76,            18156,            -4284,             2616
    77,            18176,            -4280,             2696
    78,            18188,            -4280,             2768
    79,            18208,            -4279,             2836
    80,            18224,            -4277,             2864
    81,            18252,            -4278,             2932
    82,            18268,            -4286,             2936
    83,            18296,            -4279,             2992
    84,            18312,            -4280,             3000
    85,            18344,            -4278,             3032
    86,            18364,            -4277,             3064
    87,            18380,            -4274,             3056
    88,            18408,            -4270,             3092
    89,            18420,            -4268,             3076
    90,            18436,            -4261,             3108
    91,            18456,            -4262,             3092
    92,            18476,            -4260,             3104
    93,            18508,            -4260,             3096
    94,            18520,            -4258,             3056
    95,            18536,            -4259,             3040
    96,            18552,            -4261,             2968
    97,            18568,            -4259,             2948
    98,            18576,            -4258,             2872
    99,            18588,            -4254,             2840
   100,            18580,            -4252,             2784
   101,            18580,            -4245,             2720
   102,            18596,            -4250,             2684
   103,            18596,            -4247,             2604
   104,            18596,            -4246,             2576
   105,            18588,            -4250,             2496
   106,            18580,            -4250,             2460
   107,            18580,            -4249,             2416
   108,            18576,            -4246,             2380
   109,            18568,            -4247,             2336
   110,            18564,            -4242,             2268
   111,            18544,            -4236,             2252
   112,            18536,            -4236,             2184
   113,            18532,            -4234,             2160
   114,            18512,            -4233,             2104
   115,            18500,            -4228,             2064
   116,            18488,            -4232,             2024
   117,            18468,            -4232,             1964
   118,            18464,            -4228,             1952
   119,            18436,            -4229,             1896
   120,            18420,            -4226,             1888
   121,            18408,            -4222,             1868
   122,            18396,            -4218,             1884
   123,            18376,            -4216,             1888
   124,            18364,            -4215,             1900
   125,            18344,            -4219,             1924
   126,            18344,            -4222,             1932
   127,            18332,            -4222,             1984
   128,            18320,            -4222,             2000
   129,            18324,            -4217,             2060
   130,            18320,            -4214,             2072
   131,            18312,            -4211,             2120
   132,            18312,            -4206,             2140
   133,            18300,            -4208,             2172
   134,            18288,            -4205,             2200
   135,            18296,            -4206,             2220
   136,            18300,            -4205,             2260
   137,            18296,            -4201,             2260
   138,            18300,            -4199,             2312
   139,            18296,            -4197,             2316
   140,            18308,            -4193,             2360
   141,            18308,            -4195,             2360
   142,            18312,            -4192,             2384
   143,            18312,            -4191,             2408
   144,            18308,            -4189,             2424
   145,            18312,            -4189,             2460
   146,            18320,            -4191,             2464
   147,            18332,            -4185,             2512
   148,            18344,            -4187,             2512
   149,            18352,            -4186,             2556
   150,            18356,            -4185,             2556
   151,            18368,            -4181,             2596
   152,            18368,            -4181,             2608
   153,            18380,            -4178,             2628
   154,            18388,            -4174,             2652
   155,            18388,            -4174,             2656
   156,            18408,            -4172,             2692
   157,            18412,            -4171,             2680
   158,            18432,            -4168,             2720
   159,            18436,            -4170,             2712
   160,            18452,            -4166,             2744
   161,            18464,            -4165,             2740
   162,            18476,            -4162,             2752
   163,            18488,            -4159,             2736
   164,            18500,            -4159,             2704
   165,            18496,            -4159,             2676
   166,            18496,            -4162,             2616
   167,            18500,            -4158,             2612
   168,            18508,            -4157,             2576
   169,            18520,            -4152,             2588
   170,            18520,            -4149,             2564
   171,            18524,            -4143,             2576
   172,            18532,            -4143,             2572
   173,            18544,            -4142,             2588
   174,            18552,            -4142,             2596
   175,            18552,            -4144,             2600
   176,            18552,            -4145,             2636
   177,            18556,            -4147,             2644
   178,            18576,            -4142,             2696
   179,            18580,            -4141,             2696
   180,            18600,            -4135,             2744
   181,            18612,            -4133,             2748
   182,            18624,            -4127,             2788
   183,            18644,            -4123,             2796
   184,            18664,            -4123,             2820
   185,            18676,            -4123,             2832
   186,            18684,            -4123,             2840
   187,            18696,            -4122,             2868
   188,            18712,            -4123,             2876
   189,            18732,            -4118,             2932
   190,            18744,            -4122,             2932
   191,            18768,            -4120,             2980
   192,            18780,            -4120,             2984
   193,            18812,            -4116,             3036
   194,            18832,            -4116,             3040
   195,            18852,            -4114,             3084
   196,            18868,            -4110,             3100
   197,            18888,            -4108,             3128
   198,            18920,            -4104,             3152
   199,            18936,            -4104,             3160
   200,            18952,            -4101,             3208
   201,            18976,            -4100,             3208
   202,            18996,            -4099,             3256
   203,            19020,            -4098,             3248
   204,            19052,            -4095,             3296
   205,            19076,            -4093,             3296
   206,            19108,            -4090,             3344
   207,            19124,            -4089,             3340
   208,            19152,            -4087,             3376
   209,            19176,            -4084,             3384
   210,            19200,            -4082,             3408
   211,            19232,            -4083,             3444
   212,            19256,            -4082,             3460
   213,            19280,            -4081,             3500
   214,            19320,            -4081,             3500
   215,            19352,            -4078,             3548
   216,            19380,            -4078,             3548
   217,            19412,            -4075,             3604
   218,            19444,            -4073,             3600
   219,            19480,            -4071,             3652
   220,            19508,            -4069,             3652
   221,            19508,            -4076,             3476
   222,            19400,            -4135,             2416
   223,            19456,            -4064,             3588
   224,            19588,            -3976,             4116
   225,            19576,            -3980,             3816
   226,            19612,            -3992,             3824
   227,            19664,            -4019,             3904
   228,            19712,            -4026,             4076
   229,            19768,            -4024,             4300
   230,            19848,            -4025,             4556
   231,            19912,            -4011,             4812
   232,            20000,            -4002,             5092
   233,            20076,            -4004,             5348
   234,            20164,            -4007,             5644
   235,            20276,            -4021,             5912
   236,            20380,            -4026,             6232
   237,            20500,            -4026,             6536
   238,            20624,            -4029,             6888
   239,            20744,            -4024,             7204
   240,            20888,            -4007,             7556
   241,            21012,            -4001,             7852
   242,            21164,            -3991,             8196
   243,            21300,            -3982,             8480
   244,            21444,            -3975,             8812
   245,            21588,            -3972,             9084
   246,            21748,            -3976,             9424
   247,            21912,            -3976,             9716
   248,            22088,            -3972,            10060
   249,            22264,            -3965,            10368
   250,            22448,            -3957,            10716
   251,            22632,            -3950,            11016
